Pathway Title,ID,Organism,Last Edited,Communities,Pathway Terms,Disease Terms,Cell Types
Representative anthocyanin biosynthetic pathway,WP5391,Arabidopsis thaliana,29 Jun 2023,,"flavonoid biosynthetic pathway, classic metabolic pathway",,
Resistin as a regulator of inflammation,WP4481,Homo sapiens,26 Feb 2022,,"altered regulatory pathway, regulatory pathway",disease by infectious agent,
Resolvin E1 and resolvin D1 signaling pathways promoting inflammation resolution,WP5191,Homo sapiens,01 Feb 2023,,"lipid signaling pathway, signaling pathway",,"mature neutrophil, animal cell"
Response regulator aspartate phosphatase interactions,WP1466,Bacillus subtilis,23 Apr 2023,,"aspartic acid/aspartate metabolic pathway, classic metabolic pathway",,
Response to acute ibuprofen exposure,WP5077,Daphnia magna,14 Feb 2023,Daphnia,drug pathway,,
Retinoblastoma gene in cancer,WP2446,Homo sapiens,08 May 2021,"CPTAC, Diseases, PancCanNet","disease pathway, cancer pathway","cancer, disease of cellular proliferation",
Retinoblastoma gene in cancer,WP3206,Bos taurus,03 Feb 2022,,"disease pathway, cancer pathway","cancer, disease of cellular proliferation",
Retinol metabolism,WP1259,Mus musculus,18 Jan 2023,,"retinol metabolic pathway, classic metabolic pathway",,
Retinol metabolism,WP1297,Rattus norvegicus,18 Jan 2023,,"retinol metabolic pathway, classic metabolic pathway",,
Retinol metabolism,WP5188,Homo sapiens,14 Feb 2023,,"signaling pathway, pathway, retinol metabolic pathway, classic metabolic pathway,",,"compound eye retinal cell, native cell"
Retinol metabolism,WP805,Gallus gallus,16 Aug 2019,,"retinol metabolic pathway, classic metabolic pathway",,
Rett syndrome causing genes,WP4312,Homo sapiens,22 Jun 2021,"Diseases, RareDiseases",disease pathway,"Rett syndrome, disease of mental health","neuron, animal cell"
Riboflavin and CoQ disorders,WP5037,Homo sapiens,30 Nov 2021,"IEM, RareDiseases","ubiquinone biosynthetic pathway, riboflavin metabolic pathway, classic metabolic pathway","riboflavin deficiency, Brown-Vialetto-Van Laere syndrome 2, primary coenzyme Q10 deficiency 6, primary coenzyme Q10 deficiency 5, Brown-Vialetto-Van Laere syndrome 1, coenzyme Q10 deficiency disease, primary coenzyme Q10 deficiency 2, primary coenzyme Q10 deficiency 3, primary coenzyme Q10 deficiency 1, Fazio-Londe disease, Brown-Vialetto-Van Laere syndrome, primary coenzyme Q10 deficiency 4, disease of metabolism, genetic disease,",
"Riboflavin, FMN, and FAD biosynthesis",WP381,Saccharomyces cerevisiae,20 May 2021,,"riboflavin metabolic pathway, classic metabolic pathway",,
Ribose and deoxyribose phosphate metabolism,WP220,Saccharomyces cerevisiae,20 May 2021,,"carbohydrate metabolic pathway, classic metabolic pathway",,
Robo4 and VEGF signaling pathways crosstalk,WP3864,Mus musculus,23 May 2021,,"Notch signaling pathway, regulatory pathway, signaling pathway",,
Robo4 and VEGF signaling pathways crosstalk,WP3943,Homo sapiens,22 May 2021,,"regulatory pathway, Notch signaling pathway, signaling pathway",,
Role of carnosine in muscle contraction,WP4486,Homo sapiens,23 Jun 2021,,"histidine degradation pathway, classic metabolic pathway",,"muscle cell, native cell"
"Role of hypoxia, angiogenesis, and FGF pathway in OA chondrocyte hypertrophy",WP5373,Homo sapiens,25 Jun 2023,,"thyroid hormone biosynthetic pathway, hypoxia inducible factor pathway, fibroblast growth factor signaling pathway, mitogen activated protein kinase signaling pathway, classic metabolic pathway, regulatory pathway, signaling pathway",osteoarthritis,
Role of lipid metabolism,WP2915,Caenorhabditis elegans,27 May 2021,WormBase_Approved,"lipid metabolic pathway, classic metabolic pathway",,
Roles of ceramides in development of insulin resistance,WP5181,Homo sapiens,18 Jan 2023,,"type 2 diabetes mellitus pathway, insulin signaling pathway, disease pathway, regulatory pathway","diabetes mellitus, atherosclerosis, obesity, disease of metabolism, cardiovascular system disease","cell of skeletal muscle, native cell"
"RuMP cycle, oxidative branch of the pentose phosphate pathway and formaldehyde assimilation",WP332,Saccharomyces cerevisiae,31 Aug 2020,,"RuMP pathway of formaldehyde assimilation, pentose phosphate pathway - oxidative phase, classic metabolic pathway, regulatory pathway",,
S1P receptor signal transduction,WP1081,Bos taurus,21 May 2021,,"sphingosine 1-phosphate signaling pathway, G protein mediated signaling pathway, signaling pathway",,
S1P receptor signal transduction,WP1312,Rattus norvegicus,16 May 2021,,"G protein mediated signaling pathway, sphingosine 1-phosphate signaling pathway, signaling pathway",,
S1P receptor signal transduction,WP26,Homo sapiens,21 Apr 2023,,"G protein mediated signaling pathway, sphingosine 1-phosphate signaling pathway, signaling pathway",,
SARS coronavirus and innate immunity,WP4912,Homo sapiens,18 Mar 2021,COVID19,"type I interferon signaling pathway, signaling pathway","viral infectious disease, severe acute respiratory syndrome, disease by infectious agent",
SARS-CoV-2 B.1.1.7 variant antagonises innate immune activation,WP5116,Homo sapiens,01 Feb 2023,COVID19,"innate immune response pathway, regulatory pathway","COVID-19, severe acute respiratory syndrome, disease by infectious agent","epithelial cell of upper respiratory tract, animal cell"
SARS-CoV-2 altering angiogenesis via NRP1,WP5065,Homo sapiens,03 Jun 2021,COVID19,disease pathway,"COVID-19, severe acute respiratory syndrome, disease by infectious agent",
SARS-CoV-2 and ACE2 receptor: molecular mechanisms,WP4883,Homo sapiens,19 Dec 2021,COVID19,"angiotensin signaling pathway, regulatory pathway","COVID-19, severe acute respiratory syndrome, viral infectious disease, disease by infectious agent",
SARS-CoV-2 and COVID-19 pathway,WP4846,Homo sapiens,17 Dec 2021,COVID19,disease pathway,"COVID-19, disease by infectious agent",
SARS-CoV-2 innate immunity evasion and cell-specific immune response,WP5039,Homo sapiens,01 Feb 2023,COVID19,"disease pathway, immune response pathway, regulatory pathway","severe acute respiratory syndrome, COVID-19, disease by infectious agent",
SARS-CoV-2 mitochondrial chronic oxidative stress and endothelial dysfunction,WP5183,Homo sapiens,17 May 2022,COVID19,"signaling pathway, oxidative stress response pathway, regulatory pathway","COVID-19, disease by infectious agent",
SARS-CoV-2 replication organelle formation,WP5156,Homo sapiens,28 Dec 2021,COVID19,,"COVID-19, disease by infectious agent",
SCFA and skeletal muscle substrate metabolism,WP4030,Homo sapiens,04 Aug 2017,,"altered energy metabolic pathway, classic metabolic pathway",,
SIDS susceptibility pathways,WP1266,Mus musculus,23 May 2021,,"serotonin signaling pathway, signaling pathway",sudden infant death syndrome,
SIDS susceptibility pathways,WP3130,Bos taurus,21 May 2021,,"serotonin signaling pathway, signaling pathway",sudden infant death syndrome,"cardiac muscle cell, raphe nuclei neuron, native cell, animal cell"
SK UDPglcnac,WP3641,Escherichia coli,01 Feb 2023,,"glucose transport pathway, peptidoglycan biosynthetic pathway, regulatory pathway, classic metabolic pathway","glucose metabolism disease, disease of metabolism",
SMC1/SMC3 role in DNA damage - Cornelia de Lange Syndrome,WP5118,Homo sapiens,01 Feb 2023,,,"Cornelia de Lange syndrome, genetic disease",
SREBF and miR33 in cholesterol and lipid homeostasis,WP2011,Homo sapiens,27 May 2021,ExRNA,"homeostasis pathway, regulatory pathway",,
SREBF and miR33 in cholesterol and lipid homeostasis,WP2084,Mus musculus,01 Feb 2023,,"homeostasis pathway, regulatory pathway",,
SREBF and miR33 in cholesterol and lipid homeostasis,WP3137,Bos taurus,01 Feb 2023,,"homeostasis pathway, regulatory pathway",,
SREBP signaling,WP3194,Bos taurus,07 May 2021,,"sterol regulatory element-binding protein signaling pathway, cholesterol biosynthetic pathway, fatty acid biosynthetic pathway, regulatory pathway, classic metabolic pathway",obsolete hypercholesterolemia,"hepatocyte, native cell"
SRF and miRs in smooth muscle differentiation and proliferation,WP1991,Homo sapiens,22 May 2021,ExRNA,"microRNA pathway, regulatory pathway",,"smooth muscle cell neural crest derived, smooth muscle myoblast, native cell"
STING pathway in Kawasaki-like disease and COVID-19,WP4961,Homo sapiens,18 Dec 2021,COVID19,"pattern recognition receptor mediated signaling pathway, signaling pathway","COVID-19, Kawasaki disease, disease by infectious agent",
Salmonella virulence regulatory network,WP5070,Escherichia coli,03 Dec 2021,,"regulatory pathway, Salmonella infection pathway, disease pathway",,
Sebaleic acid formation and metabolism,WP5315,Homo sapiens,27 Feb 2023,Lipids,"lipid metabolic pathway, fatty acid biosynthetic pathway, classic metabolic pathway",,
Secretion of hydrochloric acid in parietal cells,WP2597,Homo sapiens,22 May 2021,,"acid-base homeostasis pathway, regulatory pathway",,"parietal cell, animal cell"
Seed development,WP2279,Arabidopsis thaliana,01 Feb 2023,,"regulatory pathway, signaling pathway",,obsolete plant cell
Seed development,WP2199,Oryza sativa,01 Feb 2023,,signaling pathway,,obsolete plant cell
Selective expression of chemokine receptors during T-cell polarization,WP4494,Homo sapiens,14 Mar 2019,,"chemokine mediated signaling pathway, signaling pathway",,"T cell, native cell"
Selenium metabolism / selenoproteins,WP108,Mus musculus,23 May 2021,,"selenoamino acid metabolic pathway, classic metabolic pathway",,
Selenium metabolism selenoproteins,WP1293,Rattus norvegicus,07 May 2021,,"selenoamino acid metabolic pathway, classic metabolic pathway",,
Selenium metabolism selenoproteins,WP1358,Danio rerio,07 May 2021,,"selenoamino acid metabolic pathway, classic metabolic pathway",,
Selenium micronutrient network,WP1272,Mus musculus,31 Jan 2022,,"selenoamino acid metabolic pathway, classic metabolic pathway",,
Selenium micronutrient network,WP15,Homo sapiens,18 Jan 2023,Micronutrients,"classic metabolic pathway, selenoamino acid metabolic pathway",,
Selenium micronutrient network,WP3257,Bos taurus,31 Jan 2022,,"selenoamino acid metabolic pathway, classic metabolic pathway",,
Selenium micronutrient network,WP1310,Rattus norvegicus,31 Jan 2022,,"selenoamino acid metabolic pathway, classic metabolic pathway",,
Semaphorin interactions,WP3151,Bos taurus,18 May 2022,,signaling pathway,,
Senescence and autophagy in cancer,WP3231,Bos taurus,21 May 2021,,"cellular senescence pathway, autophagy pathway, regulatory pathway",,
Septum site determination,WP3538,Escherichia coli,16 Aug 2019,,regulatory pathway,,
Serine and glycine biosynthesis,WP218,Saccharomyces cerevisiae,20 May 2021,,"serine metabolic pathway, glycine metabolic pathway, classic metabolic pathway",,
Serine biosynthesis,WP459,Saccharomyces cerevisiae,20 May 2021,,"serine metabolic pathway, classic metabolic pathway",,
Serine metabolism,WP4688,Homo sapiens,30 Nov 2021,"IEM, Lipids, RareDiseases","serine metabolic pathway, classic metabolic pathway","PSPH deficiency, PHGDH deficiency, PSAT deficiency, inherited metabolic disorder, genetic disease",
Serine-isocitrate lyase pathway,WP390,Saccharomyces cerevisiae,23 Dec 2018,,"serine pathway of formaldehyde assimilation, classic metabolic pathway",,
Serotonin HTR1 group and FOS pathway,WP722,Homo sapiens,07 Mar 2023,,"serotonin signaling pathway, signaling pathway",,
Serotonin and anxiety,WP2132,Rattus norvegicus,17 Sep 2019,,disease pathway,,
Serotonin and anxiety,WP2141,Mus musculus,12 Nov 2018,,"serotonin signaling pathway, altered calcineurin signaling pathway, calcium/calmodulin dependent kinase signaling pathway, signaling pathway, regulatory pathway","anxiety disorder, disease of mental health","serotonergic neuron, native cell"
Serotonin and anxiety,WP3947,Homo sapiens,03 Sep 2019,,"calcium/calmodulin dependent kinase signaling pathway, altered calcineurin signaling pathway, serotonin signaling pathway, calcium/calmodulin dependent kinase 1 signaling pathway, regulatory pathway, signaling pathway","anxiety disorder, disease of mental health","serotonergic neuron, native cell"
Serotonin and anxiety-related events,WP2140,Mus musculus,17 Sep 2019,,"disease pathway, signaling pathway","anxiety disorder, disease of mental health","neuron, cerebral cortex neuron, animal cell"
Serotonin and anxiety-related events,WP3944,Homo sapiens,17 Dec 2021,,"disease pathway, signaling pathway","anxiety disorder, disease of mental health","cerebral cortex neuron, animal cell"
Serotonin receptor 2 and ELK-SRF / GATA4 signaling,WP3242,Bos taurus,06 Mar 2023,,"serotonin signaling pathway, signaling pathway",,"neuron, animal cell"
Serotonin receptor 2 and ELK-SRF/GATA4 signaling,WP732,Homo sapiens,07 Mar 2023,,"serotonin signaling pathway, signaling pathway",,"neuron, animal cell"
Serotonin receptor 2 and STAT3 signaling,WP2079,Mus musculus,06 Mar 2023,,"serotonin signaling pathway, signaling pathway",,"neuron, animal cell"
Serotonin receptor 2 and STAT3 signaling,WP3115,Bos taurus,06 Mar 2023,,"serotonin signaling pathway, signaling pathway",,"neuron, animal cell"
Serotonin receptor 4/6/7 and NR3C signaling,WP3272,Bos taurus,06 Mar 2023,,"serotonin signaling pathway, signaling pathway",,"neuron, animal cell"
Serotonin receptor 4/6/7 and NR3C signaling,WP734,Homo sapiens,07 Mar 2023,,"serotonin signaling pathway, signaling pathway",,"neuron, animal cell"
Serotonin reuptake inhibitor response,WP5237,Daphnia magna,10 Dec 2022,Daphnia,"serotonin metabolic pathway, classic metabolic pathway",,
Serotonin transporter activity,WP1455,Homo sapiens,24 Apr 2023,,"serotonin signaling pathway, signaling pathway",,"neuron, animal cell"
Serotonin transporter activity,WP3138,Bos taurus,07 Mar 2023,,"serotonin signaling pathway, signaling pathway",,"neuron, animal cell"
Sex determination,WP291,Caenorhabditis elegans,25 Jul 2016,,signaling pathway,,
Sialylation,WP5151,Homo sapiens,29 Mar 2023,,"protein modification pathway, regulatory pathway",,
Signal transduction of S1P receptor,WP57,Mus musculus,23 May 2021,,"sphingosine 1-phosphate signaling pathway, signaling pathway",,
Signal transduction through IL1R,WP4496,Homo sapiens,19 Jan 2019,,signaling pathway,,
Sildenafil treatment,WP5294,Homo sapiens,23 Sep 2023,,"mitochondrial disease pathway, disease pathway","impotence, hypertension, pulmonary hypertension, disease of mental health, cardiovascular system disease",
Sleep regulation,WP3591,Homo sapiens,05 Aug 2016,,regulatory pathway,,
Small cell lung cancer,WP4658,Homo sapiens,30 Sep 2023,"CPTAC, Diseases","cancer pathway, signaling pathway, small cell lung carcinoma pathway, disease pathway","cancer, lung cancer, disease of cellular proliferation",
Small ligand GPCRs,WP161,Rattus norvegicus,16 May 2021,,"G protein mediated signaling pathway, signaling pathway",,
Small ligand GPCRs,WP247,Homo sapiens,23 Apr 2023,,"G protein mediated signaling pathway, signaling pathway",,
Small ligand GPCRs,WP971,Bos taurus,21 May 2021,,"G protein mediated signaling pathway, signaling pathway",,
Smith-Magenis and Potocki-Lupski syndrome copy number variation,WP5381,Homo sapiens,09 Nov 2023,,disease pathway,,
Soluble ACE2-mediated cell entry of SARS-CoV-2,WP5076,Homo sapiens,03 Jun 2021,COVID19,"endocytosis pathway, regulatory pathway","severe acute respiratory syndrome, COVID-19, viral infectious disease, disease by infectious agent",
Somatic sex determination,WP4814,Homo sapiens,07 May 2021,RareDiseases,signaling pathway,disorder of sexual development,
Somatroph axis (GH) and its relationship to dietary restriction and aging,WP4186,Homo sapiens,15 Aug 2019,,"growth factor signaling pathway, aging pathway, signaling pathway, regulatory pathway",,
Somitogenesis in the context of spondylocostal dysostosis,WP4785,Homo sapiens,03 Sep 2020,SkeletalDysplasia,"altered Notch signaling pathway, signaling pathway",spondylocostal dysostosis,
Sphingolipid metabolism,WP3232,Bos taurus,21 May 2021,,"sphingolipid metabolic pathway, classic metabolic pathway",,
Sphingolipid metabolism,WP370,Saccharomyces cerevisiae,20 May 2021,,"sphingolipid metabolic pathway, classic metabolic pathway",,
Sphingolipid metabolism (integrated pathway),WP4690,Mus musculus,18 Jan 2023,Lipids,"sphingolipid biosynthetic pathway, sphingolipid metabolic pathway, sphingomyelin metabolic pathway, classic metabolic pathway",,
Sphingolipid metabolism in senescence,WP5121,Homo sapiens,30 Jun 2021,,"aging pathway, sphingolipid metabolic pathway, regulatory pathway, classic metabolic pathway",,
Sphingolipid metabolism overview,WP4344,Mus musculus,18 Jan 2023,Lipids,"sphingolipid biosynthetic pathway, sphingomyelin metabolic pathway, sphingolipid metabolic pathway, classic metabolic pathway",,
Sphingolipid metabolism overview,WP4725,Homo sapiens,14 Jun 2023,"IEM, Lipids","sphingolipid biosynthetic pathway, sphingolipid metabolic pathway, sphingomyelin metabolic pathway, classic metabolic pathway",,
Sphingolipid metabolism: integrated pathway,WP4726,Homo sapiens,18 Jan 2023,Lipids,"cholesterol biosynthetic pathway, sphingolipid biosynthetic pathway, sphingomyelin metabolic pathway, sphingolipid metabolic pathway, classic metabolic pathway",,
Sphingolipid pathway,WP1422,Homo sapiens,27 May 2021,,"sphingolipid metabolic pathway, classic metabolic pathway",,
Spinal cord injury,WP2431,Homo sapiens,11 Jan 2022,"Diseases, ExRNA","disease pathway, neurological disorder pathway","post-traumatic stress disorder, spinal cord disease, disease of mental health, central nervous system disease","astrocyte of the spinal cord, animal cell"
Spinal cord injury,WP2432,Mus musculus,14 May 2021,,disease pathway,"spinal cord disease, post-traumatic stress disorder, central nervous system disease, disease of mental health","astrocyte of the spinal cord, animal cell"
Spinal cord injury,WP2433,Rattus norvegicus,23 Nov 2021,,disease pathway,"spinal cord disease, post-traumatic stress disorder, central nervous system disease, disease of mental health","astrocyte of the spinal cord, animal cell"
Spinal cord injury,WP3186,Bos taurus,21 May 2021,,disease pathway,"post-traumatic stress disorder, spinal cord disease, disease of mental health, central nervous system disease","astrocyte of the spinal cord, animal cell"
Splicing factor NOVA regulated synaptic proteins,WP1983,Mus musculus,17 Sep 2019,,"cadherin mediated signaling pathway, signaling pathway",,
Splicing factor NOVA regulated synaptic proteins,WP4148,Homo sapiens,28 May 2020,,"cadherin mediated signaling pathway, signaling pathway",,
Starch and cellulose biosynthesis,WP257,Saccharomyces cerevisiae,20 May 2021,,"starch and cellulose biosynthetic pathway, classic metabolic pathway",,
Starch metabolism,WP2622,Arabidopsis thaliana,27 May 2021,,"starch biosynthetic pathway, classic metabolic pathway",,
Statin inhibition of cholesterol production,WP430,Homo sapiens,21 Nov 2021,Diseases,"statin drug pathway, drug pathway",cardiovascular system disease,"enterocyte, hepatocyte, native cell"
Statin pathway,WP1,Mus musculus,27 Dec 2022,,"statin drug pathway, hypercholesterolemia pathway, drug pathway, disease pathway",cardiovascular system disease,
Statin pathway,WP1041,Bos taurus,21 May 2021,,"statin drug pathway, drug pathway",cardiovascular system disease,"hepatocyte, native cell"
Statin pathway,WP1157,Canis familiaris,21 May 2021,,"statin drug pathway, drug pathway",,
Statin pathway,WP145,Rattus norvegicus,16 May 2021,,"statin drug pathway, drug pathway",,"hepatocyte, native cell"
Statin pathway,WP921,Pan troglodytes,21 May 2021,,"statin drug pathway, drug pathway",,
Steroid biosynthesis,WP1024,Bos taurus,14 Feb 2022,,"steroid hormone biosynthetic pathway, classic metabolic pathway",,
Steroid biosynthesis,WP496,Homo sapiens,17 Jun 2021,,"steroid hormone biosynthetic pathway, classic metabolic pathway",,
Steroid biosynthesis,WP55,Mus musculus,23 May 2021,,"steroid hormone biosynthetic pathway, classic metabolic pathway",,
Steroid biosynthesis,WP66,Rattus norvegicus,16 May 2021,,"steroid hormone biosynthetic pathway, classic metabolic pathway",,
Steroid hormone precursor biosynthesis,WP5277,Homo sapiens,09 Nov 2023,,"classic metabolic pathway, steroid hormone biosynthetic pathway, cholesterol metabolic pathway, C21-steroid hormone biosynthetic pathway, steroid biosynthetic pathway, lipid metabolic pathway",,
Sterol regulatory element-binding proteins (SREBP) signaling,WP1982,Homo sapiens,07 May 2021,,"cholesterol biosynthetic pathway, sterol regulatory element-binding protein signaling pathway, fatty acid biosynthetic pathway, classic metabolic pathway, regulatory pathway",obsolete hypercholesterolemia,"hepatocyte, native cell"
Striated muscle contraction,WP316,Rattus norvegicus,16 May 2021,,regulatory pathway,,
Striated muscle contraction,WP969,Bos taurus,21 May 2021,,regulatory pathway,,"striated muscle cell, native cell"
Striated muscle contraction pathway,WP383,Homo sapiens,27 May 2021,,regulatory pathway,,"striated muscle cell, native cell"
Sucrose biosynthesis,WP14,Saccharomyces cerevisiae,24 Feb 2023,,"sucrose biosynthetic pathway, classic metabolic pathway",,
Sucrose metabolism,WP2623,Arabidopsis thaliana,27 May 2021,,"starch and sucrose metabolic pathway, classic metabolic pathway",,
Sudden infant death syndrome (SIDS) susceptibility pathways,WP706,Homo sapiens,18 Jan 2023,Diseases,"serotonin signaling pathway, signaling pathway",sudden infant death syndrome,"cardiac muscle cell, raphe nuclei neuron, native cell, animal cell"
Sulfatase and aromatase pathway,WP5368,Homo sapiens,25 Jun 2023,,"steroid biosynthetic pathway, sex steroids signaling pathway, classic metabolic pathway, signaling pathway","ovary epithelial cancer, disease of cellular proliferation",
Sulfate assimilation and copper detoxification,WP4173,Saccharomyces cerevisiae,22 Dec 2020,,"sulfate assimilation pathway, copper homeostasis pathway, cysteine and methionine metabolic pathway, classic metabolic pathway, regulatory pathway",,
Sulfate assimilation pathway II,WP579,Saccharomyces cerevisiae,27 Sep 2016,,"sulfate assimilation pathway, classic metabolic pathway",,
Sulfation biotransformation reaction,WP3234,Bos taurus,21 May 2021,,"sulfonation conjugation pathway, regulatory pathway",,
Sulfation biotransformation reaction,WP692,Homo sapiens,18 Apr 2023,,"sulfonation conjugation pathway, regulatory pathway",,
Sulfide oxidation pathway,WP2235,Caenorhabditis elegans,18 Jan 2023,,"xenobiotics biodegradation pathway, classic metabolic pathway",,
Sulfur amino acid biosynthesis,WP7,Saccharomyces cerevisiae,17 Jan 2023,,"cysteine and methionine metabolic pathway, classic metabolic pathway",,
Sulindac metabolic pathway,WP2541,Rattus norvegicus,16 May 2021,,"classic metabolic pathway, xenobiotic metabolic pathway",,
Sulindac metabolic pathway,WP2542,Homo sapiens,22 May 2021,,"classic metabolic pathway, xenobiotic metabolic pathway",,
Sulindac metabolic pathway,WP3150,Bos taurus,21 May 2021,,classic metabolic pathway,,
Superpathway of pyridoxal 5'-phosphate biosynthesis and salvage,WP2631,Solanum lycopersicum,17 Sep 2019,,classic metabolic pathway,,
Supression of HMGB1 mediated inflammation by THBD,WP4479,Homo sapiens,26 Feb 2022,,,,
Synaptic signaling pathways associated with autism spectrum disorder,WP4539,Homo sapiens,10 Nov 2020,"Diseases, Diseases","mTOR signaling pathway, regulatory pathway","autism spectrum disorder, disease of mental health",
Synaptic vesicle pathway,WP2267,Homo sapiens,18 May 2021,,synaptic vesicle cycle pathway,,
Synaptic vesicle pathway,WP3224,Bos taurus,21 May 2021,,synaptic vesicle cycle pathway,,
Synthesis and degradation of ketone bodies,WP101,Drosophila melanogaster,16 May 2021,,"ketone bodies metabolic pathway, classic metabolic pathway",,
Synthesis and degradation of ketone bodies,WP349,Rattus norvegicus,16 May 2021,,"ketone bodies metabolic pathway, classic metabolic pathway",,
Synthesis and degradation of ketone bodies,WP543,Mus musculus,14 May 2021,,"ketone bodies metabolic pathway, classic metabolic pathway",,
Synthesis of ceramides and 1-deoxyceramides,WP5194,Homo sapiens,10 Dec 2022,,"ceramide signaling pathway, sphingolipid biosynthetic pathway, lacto-series glycosphingolipid metabolic pathway, signaling pathway, classic metabolic pathway",,animal cell
T cell modulation in pancreatic cancer,WP5078,Homo sapiens,21 Mar 2023,"Diseases, PancCanNet","pancreatic cancer pathway, disease pathway, immune response pathway, regulatory pathway","pancreatic cancer, disease of cellular proliferation","malignant cell, T cell, , native cell"
T cell receptor and co-stimulatory signaling,WP2583,Homo sapiens,18 May 2021,ExRNA,"calcineurin signaling pathway, Toll-like receptor signaling pathway, nuclear factor of activated T-cells signaling pathway, regulatory pathway, signaling pathway",,"T cell, native cell"
T cell receptor and co-stimulatory signaling,WP3282,Bos taurus,21 May 2021,,"nuclear factor of activated T-cells signaling pathway, calcineurin signaling pathway, Toll-like receptor signaling pathway, regulatory pathway, signaling pathway",,
T-cell activation SARS-CoV-2,WP5098,Homo sapiens,01 Feb 2023,COVID19,,"COVID-19, disease by infectious agent","T cell, native cell"
T-cell antigen receptor (TCR) pathway during Staphylococcus aureus infection,WP3863,Homo sapiens,26 Feb 2022,Diseases,"infectious disease pathway, immune response pathway, disease pathway, regulatory pathway","toxic shock syndrome, disease by infectious agent","T cell, native cell"
T-cell receptor signaling pathway,WP69,Homo sapiens,18 Apr 2023,,"T cell receptor signaling pathway, signaling pathway",,"T cell, native cell"
TAR syndrome,WP5362,Homo sapiens,27 Jul 2023,,disease pathway,disease,
TCA cycle,WP1227,Anopheles gambiae,19 May 2021,,"citric acid cycle pathway, classic metabolic pathway",,
TCA cycle,WP19,Danio rerio,13 Feb 2023,,"citric acid cycle pathway, classic metabolic pathway",,
TCA cycle,WP2563,Mycobacterium tuberculosis,25 Jul 2016,,"classic metabolic pathway, citric acid cycle pathway",,
TCA cycle,WP347,Rattus norvegicus,16 May 2021,,"citric acid cycle pathway, classic metabolic pathway",,
TCA cycle,WP434,Mus musculus,23 May 2021,,"citric acid cycle pathway, classic metabolic pathway",,
TCA cycle,WP490,Saccharomyces cerevisiae,09 Nov 2023,,"citric acid cycle pathway, classic metabolic pathway",,
TCA cycle,WP999,Bos taurus,01 Feb 2023,,"citric acid cycle pathway, classic metabolic pathway",,
TCA cycle (Krebs cycle),WP2624,Arabidopsis thaliana,19 May 2021,,"citric acid cycle pathway, classic metabolic pathway",,
TCA cycle (aka Krebs or citric acid cycle),WP78,Homo sapiens,16 Jun 2021,,"citric acid cycle pathway, classic metabolic pathway",,
TCA cycle (plant),WP3009,Oryza sativa,26 Jul 2023,,"classic metabolic pathway, citric acid cycle pathway",,
TCA cycle - detailed,WP296,Saccharomyces cerevisiae,20 May 2021,,"citric acid cycle pathway, classic metabolic pathway",,
TCA cycle and deficiency of pyruvate dehydrogenase complex (PDHc),WP2453,Homo sapiens,22 May 2021,,"disease pathway, pyruvate decarboxylase deficiency pathway, citric acid cycle pathway, classic metabolic pathway",,
TCA cycle and deficiency of pyruvate dehydrogenase complex (PDHc),WP3149,Bos taurus,21 May 2021,,"pyruvate decarboxylase deficiency pathway, disease pathway, citric acid cycle pathway, classic metabolic pathway",,
TCA cycle in senescence,WP5050,Homo sapiens,18 Jan 2023,,"cellular senescence pathway, citric acid cycle pathway, classic metabolic pathway, regulatory pathway",,
TCA cycle nutrient use and invasiveness of ovarian cancer,WP2868,Homo sapiens,29 Aug 2023,"CPTAC, Diseases, ExRNA","cancer pathway, altered citric acid cycle pathway, disease pathway, classic metabolic pathway","cancer, reproductive system disease, ovarian cancer, disease of cellular proliferation,",
TCA cycle nutrient use and invasiveness of ovarian cancer,WP3252,Bos taurus,21 May 2021,,"altered citric acid cycle pathway, cancer pathway, classic metabolic pathway, disease pathway","cancer, reproductive system disease, disease of cellular proliferation",
TCR signaling pathway,WP1011,Bos taurus,21 May 2021,,"T cell receptor signaling pathway, signaling pathway",,
TGF-beta receptor signaling,WP1048,Bos taurus,21 May 2021,,"transforming growth factor-beta superfamily mediated signaling pathway, signaling pathway",,
TGF-beta receptor signaling,WP560,Homo sapiens,19 Apr 2023,"CPTAC, PancCanNet","transforming growth factor-beta superfamily mediated signaling pathway, signaling pathway",,
TGF-beta receptor signaling in skeletal dysplasias,WP4816,Homo sapiens,22 Apr 2023,SkeletalDysplasia,"transforming growth factor-beta superfamily mediated signaling pathway, altered transforming growth factor-beta signaling pathway, signaling pathway",,
TGF-beta signaling in thyroid cells for epithelial-mesenchymal transition,WP3859,Homo sapiens,22 May 2021,CPTAC,signaling pathway,"thyroid gland cancer, disease of cellular proliferation",
TGF-beta signaling pathway,WP1045,Bos taurus,21 May 2021,,"transforming growth factor-beta superfamily mediated signaling pathway, signaling pathway",,
TGF-beta signaling pathway,WP113,Mus musculus,07 May 2021,,"transforming growth factor-beta superfamily mediated signaling pathway, signaling pathway",,
TGF-beta signaling pathway,WP366,Homo sapiens,23 Dec 2021,CPTAC,"transforming growth factor-beta superfamily mediated signaling pathway, signaling pathway",,
TGFβ/Smad signaling pathway,WP5382,Homo sapiens,29 Jun 2023,,"transforming growth factor-beta Smad dependent signaling pathway, signaling pathway",,
TLR4 signaling and tolerance,WP3851,Homo sapiens,26 Feb 2022,,"regulatory pathway, neurological disorder pathway, disease pathway",,
